model_id	server_observed	card_native	card_max_extended	source_url	checked_at
0bserverx/Qwen3.8-27B-Heretic-Abliterated-Uncensored-GGUF				https://huggingface.co/0bserverx/Qwen3.8-27B-Heretic-Abliterated-Uncensored-GGUF	2026-09-13
DavidAU/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-MTP-GGUF		262144	1000000	https://huggingface.co/DavidAU/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-MTP-GGUF	2026-09-13
DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF		262144	1000000	https://huggingface.co/DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF	2026-09-13
HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-MTP-GGUF		262144	1000000	https://huggingface.co/Qwen/Qwen3.8-27B	2026-09-13
Jackrong/Qwopus3.8-27B-Flash-GGUF				https://huggingface.co/Jackrong/Qwopus3.8-27B-Flash-GGUF	2026-09-13
JonathanColetti/Qwen3.8-27B-Uncensored-GGUF		262144	1000000	https://huggingface.co/Qwen/Qwen3.8-27B	2026-09-13
NANI-Nithin/K2-Horizon-MoVA-36B-A4B-GGUF		524288		https://huggingface.co/NANI-Nithin/K2-Horizon-MoVA-36B-A4B-GGUF	2026-09-13
XHToken/Spark-X2.5-4B-GGUF		1048576		https://huggingface.co/XHToken/Spark-X2.5-4B-GGUF	2026-09-13
bartowski/ukisai_Swift-Qwen3.8-27b-GGUF				https://huggingface.co/bartowski/ukisai_Swift-Qwen3.8-27b-GGUF	2026-09-13
huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF				https://huggingface.co/huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF	2026-09-13
openbmb/MiniCPM5-2B-GGUF				https://huggingface.co/openbmb/MiniCPM5-2B-GGUF	2026-09-13
ornith-ai/Ornith-1.5-9B-GGUF		262144		https://huggingface.co/ornith-ai/Ornith-1.5-9B-GGUF	2026-09-13
peculiar-ragdoll/Dirk-Qwen3.8-27B-GGUF		262144	1000000	https://huggingface.co/Qwen/Qwen3.8-27B	2026-09-13
qwen3-asr-0.6b					2026-09-13
unsloth/Ornith-1.0-35B-GGUF	262144			https://huggingface.co/unsloth/Ornith-1.0-35B-GGUF	2026-09-18
unsloth/Ornith-1.0-9B-GGUF	262144			https://huggingface.co/unsloth/Ornith-1.0-9B-GGUF	2026-09-23
unsloth/Qwen-AgentWorld-35B-A3B-GGUF		262144		https://huggingface.co/unsloth/Qwen-AgentWorld-35B-A3B-GGUF	2026-09-13
unsloth/Qwen3.8-27B-GGUF	127488	262144	1000000	https://huggingface.co/unsloth/Qwen3.8-27B-GGUF	2026-09-19
unsloth/Z-Image-Turbo-unsloth-bnb-4bit				https://huggingface.co/unsloth/Z-Image-Turbo-unsloth-bnb-4bit	2026-09-13
unsloth/gemma-4-12b-it-qat-GGUF				https://huggingface.co/unsloth/gemma-4-12b-it-qat-GGUF	2026-09-13
yuxinlu1/gemma-4-12B-coder-fable5-composer2.5-v1-GGUF		131072		https://huggingface.co/yuxinlu1/gemma-4-12B-coder-fable5-composer2.5-v1-GGUF	2026-09-13
